grouping,group_key,room_type,class_name,grid,sigma,augmentation,method_a,method_b,n_a,n_b,n_a_augmented,n_b_augmented,tv_distance,l1_percent_points,js_divergence,js_distance,hellinger_distance,cosine_distance,pearson_corr,sliced_wasserstein,centroid_a_x,centroid_a_y,centroid_b_x,centroid_b_y,centroid_shift,max_abs_diff_pp,mean_abs_diff_pp,positive_mass_pp,negative_mass_pp
class,__all____chair,__all__,chair,20,1.25,rot90_flip,3dfront,diffuscene,13461,46,80766,276,0.5371931146053263,107.43862292106525,0.3071826416072756,0.5542405990247156,0.49226799525829457,0.40095806560382086,0.4138783948996481,0.052840151176121786,0.5000010112822335,0.5000004634458749,0.5,0.5,1.112418012607061e-06,1.7070023419355824,0.26859655730266313,53.71931146053264,-53.71931146053263
class,__all____chair,__all__,chair,20,1.25,rot90_flip,3dfront,infinigen,13461,109,80766,654,0.3496873941156349,69.937478823127,0.12735404946876017,0.3568669912849326,0.30320453797142444,0.26813466311470036,0.2968361866124776,0.06129863958237907,0.5000010112822335,0.5000004634458749,0.5,0.5,1.112418012607061e-06,0.8258008000806595,0.1748436970578175,34.96873941156349,-34.96873941156349
class,__all____chair,__all__,chair,20,1.25,rot90_flip,3dfront,relaxed,13461,333,80766,1998,0.672743222181325,134.548644436265,0.4457770617318988,0.6676653815586808,0.5877483148678779,0.6892565943560125,-0.5576016550412333,0.12088438841942437,0.5000010112822335,0.5000004634458749,0.5015580817335556,0.5008566223613008,0.0017769289459187113,2.0936515033327696,0.3363716110906625,67.27432221813248,-67.27432221813251
class,__all____chair,__all__,chair,20,1.25,rot90_flip,3dfront,retrieval,13461,504,80766,3024,0.42891355877294296,85.78271175458859,0.21846682027604544,0.46740434345012827,0.41615315081066284,0.32373534787608005,-0.08126759471505898,0.06699577106307042,0.5000010112822335,0.5000004634458749,0.49999999999999994,0.4999999999999999,1.1124180127037783e-06,0.6422139770057509,0.21445677938647148,42.8913558772943,-42.8913558772943
class,__all____decor,__all__,decor,20,1.25,rot90_flip,3dfront,cube,970,204,5820,1224,0.3174209871679065,63.48419743358129,0.12091211729181288,0.3477241971617921,0.3029200895307934,0.19354592444381047,0.5094229762843981,0.032918723396369906,0.5000277546292754,0.5000138773146376,0.5004872257939025,0.5002436128969512,0.0005137043789035725,0.6657701365729576,0.15871049358395323,31.742098716790636,-31.742098716790657
class,__all____decor,__all__,decor,20,1.25,rot90_flip,3dfront,infinigen,970,2262,5820,13572,0.15757739115168173,31.515478230336342,0.029915058957053868,0.17295970327522497,0.1453417310511027,0.06522530288920525,0.6704211302048069,0.014041391845637453,0.5000277546292754,0.5000138773146376,0.50001077166163,0.500005385830815,1.8987535057379933e-05,0.3269802990657184,0.07878869557584085,15.757739115168174,-15.757739115168171
class,__all____decor,__all__,decor,20,1.25,rot90_flip,3dfront,ollama_llm,970,49,5820,294,0.35946173265095877,71.89234653019174,0.14435327135770584,0.3799385099693184,0.3232058334879131,0.32531486544360866,-0.29271263465312436,0.05677013318578711,0.5000277546292754,0.5000138773146376,0.5006198694711524,0.5003099347355762,0.0006620045184618059,0.6858707369407182,0.17973086632547935,35.94617326509587,-35.94617326509588
class,__all____decor,__all__,decor,20,1.25,rot90_flip,3dfront,relaxed,970,92,5820,552,0.4990421447282831,99.80842894565663,0.26975953830772065,0.5193838063587665,0.46662333117543275,0.29985159315921883,0.583680639538434,0.07269638251160618,0.5000277546292754,0.5000138773146376,0.4999999999999999,0.4999999999999999,3.1030618875174766e-05,1.1526098228669088,0.24952107236414156,49.9042144728283,-49.90421447282832
class,__all____decor,__all__,decor,20,1.25,rot90_flip,3dfront,retrieval,970,189,5820,1134,0.5710752676364637,114.21505352729271,0.3513823325255899,0.5927751112568661,0.5382433256374812,0.42552077177993053,0.2588677793584676,0.05641770644388709,0.5000277546292754,0.5000138773146376,0.5,0.5,3.103061887502581e-05,1.2526575107787603,0.2855376338182318,57.10752676364635,-57.10752676364637
class,__all____nightstand,__all__,nightstand,20,1.25,rot90_flip,3dfront,cube,11411,2007,68466,12042,0.46040908481311654,92.08181696262331,0.21377343767670376,0.4623563968160317,0.39519223666904535,0.38980599024762685,-0.47099883170505136,0.08593293886939024,0.500001472250106,0.5000007358004588,0.5,0.5,1.6458805211525798e-06,0.7168489825721626,0.23020454240655827,46.040908481311654,-46.04090848131166
